,weather
1533,Heavy snow
1534,Heavy snow
1535,Heavy snow
1536,Heavy snow
1537,Heavy snow
1538,Heavy snow
1539,Heavy snow
1540,Heavy snow
1541,Heavy snow
1542,Heavy snow
1543,Heavy snow
1544,Heavy snow
1545,Heavy snow
1546,Heavy snow
1547,Heavy snow
1548,Heavy snow
1549,Heavy snow
1550,Heavy snow
1551,Heavy snow
1552,Heavy snow
1553,Heavy snow
1554,Heavy snow
1555,Heavy snow
1556,Heavy snow
1557,Heavy snow
1558,Heavy snow
1559,Heavy snow
1560,Heavy snow
1561,Heavy snow
1562,Heavy snow
1563,Heavy snow
1564,Heavy snow
